x,x,x,x,x,x,x
x,baseline,1.451,1.1812,2.1024,1.3768,0.7172
x,baseline,1.4562,1.1428,2.104,1.3484,0.6424
x,baseline,1.4564,1.165,2.0882,1.3682,0.6278
x,baseline,1.4828,1.1656,2.0942,1.3914,0.6402
x,baseline,1.4672,1.1542,2.081,1.4106,0.6502
x,baseline,1.4902,1.188,2.1234,1.4194,0.66
x,baseline,1.489,1.1898,2.1104,1.4406,0.6686
x,baseline,1.4844,1.1142,2.0928,1.3676,0.645
x,baseline,1.5398,1.1586,2.1278,1.417,0.6502
x,baseline,1.485,1.1646,2.0924,1.404,0.6444
x,1,2.4538,4.3462,2.8808,1.6632,1.8712
x,1,2.3222,4.3672,2.9596,1.5446,2.4048
x,1,2.588,4.2276,2.9824,1.5926,2.0878
x,1,2.5628,4.0632,2.722,1.544,2.084
x,1,2.5014,3.8798,2.7778,1.621,2.0288
x,1,2.4536,3.9582,2.795,1.6304,1.9404
x,1,2.4418,3.8758,2.8468,1.6696,2.1726
x,1,2.5262,3.8796,2.8606,1.6708,1.9918
x,1,2.567,3.843,2.8378,1.6572,1.7896
x,1,2.52,3.9128,2.8014,1.7082,1.755
x,2,2.4668,3.522,2.1534,1.6354,1.5352
x,2,2.5698,3.5172,2.2134,1.664,1.6554
x,2,2.5082,3.6382,2.209,1.6512,1.718
x,2,2.6156,3.706,2.2306,1.6698,1.6508
x,2,2.5782,3.5884,2.0998,1.654,1.3876
x,2,2.5934,3.5898,2.2266,1.704,1.7184
x,2,2.5604,3.5766,2.2158,1.6824,1.8092
x,2,2.5498,3.466,2.2564,1.5596,1.361
x,2,2.557,3.469,2.24,1.5826,1.3182
x,2,2.6066,3.4856,2.2402,1.5928,1.349
x,3,2.2296,3.1844,2.1458,1.6078,0.879
x,3,2.0592,3.3538,2.0942,1.5696,0.9052
x,3,1.9756,3.2612,2.0718,1.6184,0.8986
x,3,1.9656,3.3144,2.0904,1.6226,0.8984
x,3,2.0874,3.3738,2.0822,1.6422,0.9084
x,3,2.0026,3.8686,2.179,1.6144,0.905
x,3,1.9914,3.858,2.1774,1.618,0.904
x,3,1.9834,3.7612,2.1438,1.637,0.8876
x,3,1.8522,3.8754,2.1096,1.3368,0.8892
x,3,1.8884,3.9334,2.1772,1.4134,0.8932
x,4,1.7476,1.37,2.3398,1.5432,1.8632
x,4,1.7588,1.3584,2.3076,1.5668,1.764
x,4,1.6168,1.397,2.2124,1.4738,1.6296
x,4,1.5624,1.425,2.1312,1.5032,1.5828
x,4,1.5872,1.399,2.1974,1.5192,1.4404
x,4,1.6416,1.4318,2.1766,1.5584,1.3722
x,4,1.6388,1.3674,2.1918,1.5092,1.4898
x,4,1.6092,1.3982,2.3166,1.5058,1.8756
x,4,1.5806,1.3514,2.277,1.4768,1.4178
x,4,1.5988,1.3708,2.3346,1.5044,1.4904
x,A,1.893,3.9056,2.5572,3.893,0.9042
x,A,1.8212,3.9496,2.6044,3.8726,0.8846
x,A,1.9068,3.7442,2.5576,3.8034,0.8626
x,A,1.946,3.7536,2.6292,3.8566,0.87
x,A,1.962,3.7296,2.5868,3.7872,0.8398
x,A,1.9588,3.767,2.59,3.8108,0.8438
x,A,1.9566,3.7262,2.5648,3.8682,0.8134
x,A,1.9628,3.7152,2.638,3.8926,0.8258
x,A,2.0494,3.7204,2.6244,3.8222,0.8412
x,A,2.024,3.7764,2.6472,3.8262,0.86
x,F,1.5038,1.0844,2.017,1.9828,1.6534
x,F,1.533,1.0898,2.0336,2.087,1.5998
x,F,1.5438,1.0996,2.075,2.4074,1.6222
x,F,1.5586,1.1098,2.1004,2.4292,1.6376
x,F,1.5706,1.1064,2.1138,2.445,1.6294
x,F,1.5652,1.1044,2.1444,2.1486,1.414
x,F,1.5074,1.0918,2.153,2.34,1.64
x,F,1.6066,1.1206,2.186,2.3414,1.47
x,F,1.5606,1.1666,2.2128,2.4844,1.5548
x,F,1.5534,1.1606,2.2194,2.3082,1.4364
x,I,1.549,3.7,2.571,3.9292,1.7436
x,I,1.5782,3.2688,2.5636,3.969,1.8066
x,I,1.5638,3.2814,2.5866,3.9948,1.7792
x,I,1.5752,3.2818,2.6436,3.9686,1.8722
x,I,1.5718,3.4966,2.8718,4.1196,2.034
x,I,1.55,3.3774,2.7966,4.1458,1.8964
x,I,1.5964,3.3854,2.8946,4.0938,1.8966
x,I,1.6388,3.6172,2.8886,4.0704,1.716
x,I,1.6542,3.6848,2.964,4.0572,1.7076
x,I,1.5972,3.6422,2.8052,4.089,1.8078
x,L,2.3434,4.1984,2.894,1.5286,0.8478
x,L,2.385,4.1166,2.8954,1.5806,0.8628
x,L,2.3986,4.0496,2.8988,1.6382,0.9136
x,L,2.374,4.0732,2.8966,1.614,0.8608
x,L,2.2284,4.0094,2.9584,1.62,0.8588
x,L,2.2884,4.0632,2.923,1.6362,0.8866
x,L,2.3086,4.13,2.9594,1.6468,0.8924
x,L,2.1666,4.0914,2.9082,1.6528,0.8828
x,L,2.1186,4.1802,2.9012,1.6112,0.8836
x,L,2.0444,3.8636,2.9214,1.5544,0.8826
x,S,2.276,4.004,2.8058,4.1566,1.7414
x,S,2.2264,4.043,2.9872,4.1062,1.5614
x,S,2.2876,4.1104,2.9126,3.9902,1.5544
x,S,2.3286,4.0532,3.0444,4.023,1.423
x,S,2.1818,3.9696,3.0232,4.022,1.378
x,S,2.2828,4.0394,3.108,4.0274,1.3706
x,S,2.2588,3.9914,3.0708,4.0052,1.3956
x,S,2.2926,4.0158,3.1336,3.9808,1.3828
x,S,2.2934,3.9926,2.9996,3.959,1.3958
x,S,2.1824,3.9832,3.015,4.0584,1.382
x,W,2.1956,1.3682,2.2566,1.569,1.3662
x,W,2.3268,1.3638,2.3186,1.5946,1.4664
x,W,2.1364,1.3702,2.2796,1.591,1.1544
x,W,2.0058,1.326,2.2838,1.6264,1.1324
x,W,1.8514,1.3156,2.1972,1.6104,1.1162
x,W,1.8442,1.3052,2.2234,1.648,1.1112
x,W,1.8178,1.2986,2.164,1.6384,1.1862
x,W,1.9578,1.3012,2.2286,1.6748,1.174
x,W,1.9788,1.3248,2.2966,1.696,1.2348
x,W,1.9248,1.3404,2.2904,1.697,1.231
x,Y,1.719,2.6568,2.4592,3.3812,0.9268
x,Y,1.725,2.857,2.5814,3.6552,0.9084
x,Y,1.6748,2.8934,2.4768,3.5506,0.8668
x,Y,1.6834,3.0846,2.582,3.714,0.8688
x,Y,1.6954,3.0932,2.6044,3.7766,0.8606
x,Y,1.6502,3.1746,2.584,3.7736,0.8454
x,Y,1.6048,2.8104,2.5474,3.513,0.8276
x,Y,1.5672,2.7824,2.4258,3.4884,0.8078
x,Y,1.6642,3.1692,2.432,3.4888,0.8284
x,Y,1.6602,2.6236,2.4374,3.271,0.819
x,ILY,1.6326,3.0714,2.1332,1.6766,0.7922
x,ILY,1.647,3.2814,2.3724,1.663,0.8322
x,ILY,1.664,3.1492,2.344,1.6588,0.8302
x,ILY,1.5202,2.7058,2.388,1.619,0.8116
x,ILY,1.541,2.7698,2.3948,1.6684,0.82
x,ILY,1.5462,2.8118,2.349,1.6064,0.8178
x,ILY,1.5644,2.7068,2.3266,1.612,0.8142
x,ILY,1.5904,2.7118,2.2896,1.629,0.8086
x,ILY,1.5298,2.8284,2.2542,1.6228,0.827
x,ILY,1.5528,2.623,2.2234,1.6558,0.8086
x,ROCK,1.5344,3.6568,2.713,1.5852,1.4896
x,ROCK,1.5506,3.8958,2.8556,1.5696,1.2478
x,ROCK,1.5642,3.8464,2.8356,1.5548,1.2716
x,ROCK,1.5398,3.809,2.8184,1.6268,1.2786
x,ROCK,1.5532,3.9246,2.8564,1.6556,1.0508
x,ROCK,1.5554,3.7936,2.6202,1.608,1.2238
x,ROCK,1.5584,3.444,2.5266,1.6032,1.2658
x,ROCK,1.547,3.224,2.4302,1.5404,1.2384
x,ROCK,1.5438,3.2538,2.4132,1.6028,1.1402
x,ROCK,1.555,3.3576,2.472,1.6014,1.1772
x,7,1.4456,3.2706,1.8328,1.5442,0.905
x,7,1.43,3.2996,1.87,1.559,0.955
x,7,1.4202,3.2966,1.866,1.6006,0.9666
x,7,1.4426,3.1728,1.8276,1.5668,0.9308
x,7,1.4088,3.287,1.8808,1.5482,0.896
x,7,1.409,3.2054,1.8538,1.5586,0.8828
x,7,1.4284,3.2294,1.8658,1.5774,0.85
x,7,1.418,3.1254,1.8536,1.583,0.8682
x,7,1.4266,3.1356,1.8974,1.577,0.9346
x,7,1.4428,2.9882,1.8702,1.6088,0.9236
x,8,1.41,1.0746,2.3476,1.3824,0.9912
x,8,1.4294,1.0608,2.567,1.4822,0.8872
x,8,1.44,1.0382,2.5302,1.4802,0.8148
x,8,1.4446,1.0724,2.4818,1.5152,0.8478
x,8,1.441,1.0052,2.629,1.5298,0.8264
x,8,1.446,1.0086,2.5192,1.512,0.7718
x,8,1.4454,1.0052,2.5462,1.533,0.778
x,8,1.4494,1.0508,2.4112,1.5452,0.8192
x,8,1.4184,1.014,2.4002,1.6156,0.7516
x,8,1.4456,1.0368,2.4374,1.5998,0.7428
